,val
0,0.00023467712
1,0.00055492984
2,0.0001812452
3,0.00036735117
4,0.00029610982
5,0.00026780536
6,0.0006995618
7,0.00032208627
8,0.00034325777
9,0.0021199863
10,0.00042501747
11,0.996923
12,0.00023125825
13,0.00044935397
14,0.000200944
15,0.00011369431
16,0.0002920186
17,0.13516057
18,9.9999335e-05
19,0.97870946
20,0.0003115352
21,0.00040285144
22,0.00041463203
23,0.000573068
24,0.00013857863
25,0.00016976827
26,0.83964604
27,0.00032223674
28,0.0007146921
29,0.00020948402
30,0.0005672665
31,0.00022730633
32,0.9998611
33,0.000294306
34,0.00027313357
35,0.00040237914
36,0.00024025794
37,0.74874234
38,0.00022274976
39,0.00026657621
40,0.9959955
41,0.00021682131
42,0.00039929952
43,0.99998975
44,0.0001701063
45,0.00084721047
46,0.0002274392
47,0.0033993493
48,0.00018660881
49,0.00011980586
50,0.0001856678
51,0.19647594
52,0.0002001596
53,0.00010843476
54,0.00014036751
55,0.00016834812
56,0.00018193813
57,0.00024185622
58,0.00020760162
59,0.000706885
60,0.999884
61,0.00027615868
62,0.0002165839
63,0.0015619806
64,8.149531e-05
65,0.0005646013
66,0.00027654573
67,0.00015426155
68,0.9293739
69,0.00017083157
70,0.002728891
71,0.00016616423
72,0.00046876242
73,0.0009826884
74,0.0005305315
75,0.00019973046
76,8.5395346e-05
77,0.00011448512
78,0.00037819275
79,0.000107473905
80,0.00012598913
81,0.00010854421
82,0.00031847527
83,0.0004976694
84,0.0004579225
85,0.8404634
86,0.00028116716
87,0.00024267669
88,0.0004879806
89,0.00016905091
90,0.0003248698
91,0.00017730874
92,0.00053661613
93,0.99308574
94,0.00010794225
95,0.00011487552
96,0.0009205754
97,0.0006636853
98,0.0007353647
99,0.00049397635
100,0.00017827537
101,0.013633565
102,0.00019002357
103,9.807331e-05
104,0.00070633116
105,0.0003033688
106,0.00024005532
107,0.0009521083
108,0.0006822242
109,0.00083741185
110,0.00032628083
111,0.00030390956
112,0.00056806323
113,0.0012912742
114,0.00018797387
115,0.00012944579
116,0.00030492534
117,0.0005748092
118,0.0017653343
119,0.00037230088
120,0.00085103995
121,0.00020265029
122,0.0018478183
123,0.00036234438
124,0.00021260296
125,0.0007253174
126,0.00058066094
127,0.00034116264
128,0.0006685328
129,0.00040985964
130,0.0004989642
131,0.00017062954
132,0.0001971995
133,0.00020371501
134,0.0007701472
135,0.0003283278
136,0.7204969
