,val
0,1.692679e-05
1,4.4882377e-06
2,1.0897735e-05
3,1.81237e-05
4,1.8093176e-06
5,1.3687528e-05
6,1.4205324e-05
7,2.1265196e-06
8,1.1368454e-05
9,5.0767347e-05
10,1.5400859e-06
11,0.06879633
12,9.5032465e-06
13,0.981488
14,1.0776527e-05
15,4.0237387e-06
16,0.00015132074
17,3.598725e-06
18,4.07287e-06
19,6.232437e-06
20,1.1442831e-05
21,1.7422371e-06
22,0.9662194
23,1.519201e-06
24,1.203509e-05
25,5.0962317e-06
26,0.0008717988
27,0.99784493
28,1.5553194e-05
29,1.9233255e-05
30,2.0192141e-05
31,4.2970305e-06
32,3.251987e-05
33,2.3220671e-05
34,1.0515795e-05
35,0.0008828398
36,5.807482e-05
37,2.3766921e-05
38,0.00010190301
39,0.00035702816
40,0.00018833646
41,1.776859e-06
42,7.659063e-05
43,2.3115376e-06
44,0.000100372396
45,0.17561328
46,0.000118956414
47,5.4533807e-06
48,0.0014208454
49,8.261048e-06
50,0.00023881569
51,9.140433e-06
52,3.97853e-06
53,3.079506e-05
54,2.2941702e-05
55,5.841194e-06
56,0.0006820025
57,5.780287e-06
58,8.5639285e-06
59,4.345025e-06
60,3.4082037e-05
61,1.3314565e-06
62,4.0451e-06
63,2.8771897e-06
64,1.3729494e-05
65,0.0007600153
66,1.6246458e-05
67,0.00014453125
68,9.43217e-06
69,8.719154e-06
70,3.149615e-06
71,0.00017013971
72,1.4944851e-05
73,2.5047364e-06
74,1.0366852e-05
75,7.964814e-07
76,9.297149e-06
77,5.23648e-06
78,1.2303771e-05
79,0.05321466
80,4.158722e-05
81,1.1849394e-06
82,6.7015812e-06
83,0.033833403
84,6.79119e-06
85,1.7073015e-06
86,1.7512593e-05
87,9.058704e-07
88,1.0932012e-05
89,0.007136248
90,0.0001223448
91,2.5491916e-05
92,5.8060773e-06
93,3.2291307e-06
94,1.0660048e-06
95,4.084508e-06
96,0.04209782
97,2.1130692e-05
98,0.045388374
99,2.7600142e-06
100,4.762089e-05
101,6.7176796e-07
102,0.00028435417
103,0.00010798282
104,9.6376636e-05
105,2.0800995e-05
106,4.4797366e-06
107,1.875597e-06
108,5.648941e-06
109,3.1583436e-06
110,3.6552814e-05
111,8.430458e-06
112,1.5705957e-05
113,6.388809e-05
114,3.8566835e-05
115,0.00014231795
116,0.0027215742
117,7.383696e-06
118,1.3464883e-05
119,2.9842788e-05
120,9.056225e-06
121,4.26899e-06
122,0.010883119
123,4.4120648e-06
124,5.1608645e-06
125,5.4137934e-05
126,1.234161e-05
127,1.1023532e-05
128,0.000104637824
129,2.3575292e-05
130,5.532475e-06
131,0.32436067
132,3.0483075e-06
133,4.8191805e-06
134,1.7783894e-05
135,1.555355e-05
